,folder-1,folder-2,folder-3,folder-4,folder-5,folder-6,folder-7,folder-8,folder-9,folder-10,total_agreed,total_not_agreed
1-subfolder,12.0,12.0,12.0,10.0,11.0,11.0,11.0,11.0,11.0,12.0,9.0,1.0
2-subfolder,12.0,11.0,12.0,12.0,11.0,12.0,12.0,10.0,11.0,11.0,9.0,1.0
3-subfolder,10.0,12.0,12.0,12.0,11.0,12.0,12.0,11.0,12.0,12.0,9.0,1.0
4-subfolder,12.0,11.0,12.0,11.0,12.0,12.0,10.0,12.0,12.0,12.0,9.0,1.0
5-subfolder,11.0,11.0,12.0,12.0,12.0,11.0,11.0,11.0,12.0,12.0,10.0,0.0
6-subfolder,11.0,11.0,12.0,12.0,12.0,11.0,12.0,12.0,11.0,11.0,10.0,0.0
7-subfolder,12.0,11.0,12.0,12.0,11.0,12.0,11.0,11.0,12.0,12.0,10.0,0.0
8-subfolder,10.0,11.0,12.0,12.0,12.0,11.0,10.0,11.0,11.0,12.0,8.0,2.0
9-subfolder,12.0,11.0,12.0,11.0,11.0,11.0,11.0,12.0,12.0,11.0,10.0,0.0
10-subfolder,11.0,11.0,12.0,11.0,12.0,11.0,12.0,11.0,12.0,12.0,10.0,0.0
11-subfolder,11.0,11.0,12.0,11.0,12.0,11.0,10.0,11.0,11.0,12.0,9.0,1.0
12-subfolder,11.0,11.0,12.0,11.0,12.0,12.0,12.0,12.0,12.0,11.0,10.0,0.0
13-subfolder,12.0,11.0,12.0,12.0,12.0,11.0,12.0,12.0,12.0,12.0,10.0,0.0
14-subfolder,11.0,11.0,12.0,10.0,12.0,12.0,11.0,12.0,12.0,12.0,9.0,1.0
15-subfolder,11.0,11.0,12.0,10.0,12.0,11.0,12.0,12.0,11.0,11.0,9.0,1.0
16-subfolder,12.0,12.0,12.0,11.0,12.0,11.0,11.0,12.0,12.0,11.0,10.0,0.0
17-subfolder,11.0,11.0,12.0,10.0,12.0,12.0,12.0,12.0,11.0,12.0,9.0,1.0
18-subfolder,12.0,11.0,12.0,11.0,11.0,12.0,11.0,12.0,12.0,12.0,10.0,0.0
19-subfolder,11.0,11.0,12.0,11.0,11.0,10.0,12.0,12.0,10.0,12.0,8.0,2.0
20-subfolder,12.0,11.0,12.0,12.0,12.0,11.0,11.0,12.0,12.0,11.0,10.0,0.0
21-subfolder,11.0,10.0,12.0,11.0,12.0,12.0,11.0,12.0,10.0,12.0,8.0,2.0
22-subfolder,11.0,11.0,12.0,12.0,12.0,11.0,11.0,12.0,12.0,11.0,10.0,0.0
23-subfolder,12.0,12.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,12.0,10.0,0.0
24-subfolder,11.0,11.0,12.0,11.0,11.0,12.0,11.0,12.0,12.0,12.0,10.0,0.0
25-subfolder,12.0,11.0,12.0,12.0,12.0,12.0,11.0,12.0,12.0,12.0,10.0,0.0
26-subfolder,11.0,11.0,12.0,12.0,12.0,11.0,12.0,12.0,12.0,12.0,10.0,0.0
27-subfolder,11.0,11.0,12.0,11.0,12.0,12.0,11.0,12.0,12.0,11.0,10.0,0.0
28-subfolder,11.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,10.0,0.0
29-subfolder,11.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,10.0,0.0
30-subfolder,12.0,11.0,12.0,12.0,11.0,12.0,11.0,11.0,11.0,12.0,10.0,0.0
31-subfolder,12.0,11.0,12.0,11.0,11.0,11.0,11.0,12.0,12.0,11.0,10.0,0.0
32-subfolder,11.0,11.0,12.0,11.0,12.0,11.0,11.0,12.0,12.0,12.0,10.0,0.0
33-subfolder,11.0,11.0,12.0,11.0,12.0,11.0,12.0,11.0,11.0,11.0,10.0,0.0
34-subfolder,11.0,11.0,12.0,11.0,11.0,11.0,11.0,12.0,11.0,11.0,10.0,0.0
35-subfolder,10.0,11.0,12.0,11.0,11.0,11.0,11.0,12.0,11.0,12.0,9.0,1.0
