,folder-1,folder-2,folder-3,folder-4,folder-5,folder-6,folder-7,folder-8,folder-9,folder-10,total_plagiarised,total_not_plagiarised
1-subfolder,23.0,21.0,23.0,20.0,21.0,21.0,20.0,22.0,20.0,23.0,7.0,3.0
2-subfolder,21.0,23.0,21.0,22.0,21.0,23.0,21.0,20.0,22.0,23.0,9.0,1.0
3-subfolder,21.0,20.0,20.0,22.0,20.0,21.0,22.0,20.0,22.0,20.0,5.0,5.0
4-subfolder,23.0,21.0,20.0,22.0,22.0,21.0,22.0,22.0,21.0,23.0,9.0,1.0
5-subfolder,20.0,21.0,23.0,21.0,23.0,20.0,21.0,23.0,23.0,23.0,8.0,2.0
6-subfolder,20.0,20.0,20.0,21.0,20.0,20.0,20.0,22.0,23.0,23.0,4.0,6.0
7-subfolder,23.0,22.0,23.0,22.0,22.0,21.0,21.0,22.0,21.0,23.0,10.0,0.0
8-subfolder,21.0,20.0,23.0,20.0,21.0,22.0,22.0,21.0,20.0,23.0,7.0,3.0
9-subfolder,23.0,22.0,23.0,22.0,21.0,21.0,23.0,23.0,23.0,23.0,10.0,0.0
10-subfolder,21.0,21.0,20.0,20.0,21.0,23.0,22.0,20.0,22.0,20.0,6.0,4.0
11-subfolder,23.0,21.0,21.0,20.0,20.0,22.0,21.0,20.0,20.0,20.0,5.0,5.0
12-subfolder,22.0,21.0,21.0,23.0,21.0,22.0,21.0,22.0,22.0,23.0,10.0,0.0
13-subfolder,20.0,23.0,20.0,20.0,21.0,20.0,20.0,23.0,21.0,23.0,5.0,5.0
14-subfolder,21.0,21.0,21.0,23.0,22.0,23.0,22.0,23.0,23.0,23.0,10.0,0.0
15-subfolder,23.0,20.0,23.0,23.0,23.0,22.0,23.0,23.0,21.0,23.0,9.0,1.0
16-subfolder,20.0,20.0,20.0,20.0,20.0,21.0,23.0,20.0,23.0,23.0,4.0,6.0
17-subfolder,23.0,23.0,23.0,21.0,22.0,22.0,21.0,22.0,21.0,23.0,10.0,0.0
